epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,4030.12,0.80024,0.14931,0.0428,0.40032,0.7903,0.98671,0.99335,0.99302,0.83015,0.236,0.23649,0.23518,0.22541,0.58981,0.06037,0.00756,0.32768,0.80104,0.000569375,0.000569375,0.000569375
57,4102.21,0.81672,0.14333,0.03746,0.4014,0.78697,0.99083,0.9919,0.99325,0.82375,0.23607,0.23649,0.23377,0.22505,0.62409,0.06267,0.00717,0.34469,0.80312,0.000557,0.000557,0.000557
58,4173.4,0.78051,0.13236,0.04463,0.39408,0.78624,0.98841,0.9925,0.99307,0.8231,0.23605,0.23649,0.23311,0.21836,0.6344,0.07293,0.00873,0.34647,0.80547,0.000544625,0.000544625,0.000544625
59,4244.62,0.78403,0.1198,0.03999,0.39391,0.78842,0.98604,0.99683,0.99315,0.83031,0.23606,0.23649,0.23467,0.22891,0.63289,0.06235,0.00747,0.33266,0.80672,0.00053225,0.00053225,0.00053225
60,4317.16,0.78264,0.14226,0.05053,0.39629,0.78605,0.9863,0.99513,0.99312,0.83284,0.23598,0.23649,0.23678,0.22873,0.62105,0.05943,0.00745,0.34239,0.80172,0.000519875,0.000519875,0.000519875
61,4388.65,0.76442,0.13016,0.03869,0.3841,0.78008,0.9895,0.98677,0.99182,0.81416,0.23644,0.23649,0.23597,0.21972,0.63675,0.07244,0.01015,0.35103,0.80505,0.0005075,0.0005075,0.0005075
62,4460.18,0.76209,0.12204,0.0388,0.38444,0.7855,0.98668,0.99416,0.993,0.8378,0.23592,0.23649,0.23607,0.22842,0.59272,0.05918,0.00778,0.33689,0.80294,0.000495125,0.000495125,0.000495125
63,4531.8,0.74685,0.11243,0.03514,0.38101,0.77901,0.98852,0.994,0.99328,0.81597,0.23597,0.23649,0.23617,0.22852,0.65735,0.05725,0.00694,0.35377,0.8014,0.00048275,0.00048275,0.00048275
64,4603.2,0.73966,0.12011,0.04598,0.377,0.78436,0.98377,0.99626,0.99343,0.83543,0.23593,0.23649,0.23484,0.22017,0.59254,0.06586,0.00745,0.3173,0.8021,0.000470375,0.000470375,0.000470375
65,4674.58,0.72967,0.12193,0.03548,0.37149,0.77734,0.98419,0.99621,0.99335,0.83767,0.23608,0.23649,0.23699,0.22818,0.59527,0.06011,0.00674,0.32828,0.80107,0.000458,0.000458,0.000458
66,4745.81,0.77766,0.11787,0.04089,0.38279,0.77886,0.98997,0.99145,0.99348,0.81448,0.23608,0.23649,0.23892,0.23388,0.65015,0.05889,0.00633,0.33964,0.80041,0.000445625,0.000445625,0.000445625
67,4817.15,0.75407,0.11825,0.03523,0.37647,0.77762,0.98889,0.99482,0.99337,0.80657,0.2361,0.23649,0.23946,0.23352,0.67457,0.05807,0.00711,0.34496,0.80321,0.00043325,0.00043325,0.00043325
68,4888.56,0.7277,0.11282,0.04136,0.36831,0.78098,0.98975,0.99347,0.99302,0.84186,0.23614,0.23649,0.24016,0.23436,0.58689,0.05799,0.00656,0.31567,0.80047,0.000420875,0.000420875,0.000420875
69,4960.3,0.73314,0.11598,0.03969,0.37249,0.78331,0.98717,0.99504,0.99283,0.82715,0.23628,0.23649,0.2396,0.23374,0.62418,0.05618,0.00717,0.32498,0.80121,0.0004085,0.0004085,0.0004085
70,5032.09,0.71635,0.10058,0.0346,0.36821,0.77425,0.98761,0.99479,0.9926,0.81927,0.23609,0.23649,0.23979,0.23582,0.62373,0.05173,0.00612,0.33332,0.80202,0.000396125,0.000396125,0.000396125
71,5103.27,0.73059,0.0985,0.03993,0.36749,0.78031,0.99165,0.99021,0.99246,0.83873,0.23609,0.23649,0.23874,0.23614,0.58749,0.05158,0.00684,0.31347,0.79908,0.00038375,0.00038375,0.00038375
72,5175.41,0.72619,0.09916,0.03962,0.36375,0.77594,0.98806,0.99318,0.99299,0.82768,0.23584,0.23649,0.23409,0.23028,0.59921,0.05264,0.00722,0.32198,0.79951,0.000371375,0.000371375,0.000371375
73,5247.69,0.71899,0.10397,0.03449,0.35876,0.77658,0.99022,0.99198,0.99323,0.833,0.236,0.23649,0.23321,0.22988,0.58945,0.05154,0.00668,0.31808,0.7985,0.000359,0.000359,0.000359
74,5319.15,0.71315,0.09533,0.03474,0.35542,0.77555,0.9885,0.994,0.99315,0.84035,0.23622,0.23649,0.23483,0.23056,0.58456,0.05617,0.00657,0.31286,0.79861,0.000346625,0.000346625,0.000346625
