epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
49,2704.03,0.81299,0.77204,0.54079,0.75939,0,0.9848,0.98907,0.98632,0.78576,0.89921,0.90312,0.87116,0.48063,0.61335,0.44741,0.5027,0.71682,0,0.000403571,0.000403571,0.000403571
50,2783.56,0.81149,0.7733,0.54141,0.762,0,0.98389,0.99412,0.98588,0.76253,0.83873,0.85106,0.81203,0.44617,0.62405,0.42434,0.48945,0.71566,0,0.000395958,0.000395958,0.000395958
51,2852.02,0.81057,0.7751,0.52389,0.76441,0,0.98408,0.99399,0.9862,0.7838,0.84851,0.8607,0.8211,0.43749,0.59866,0.44354,0.48747,0.7144,0,0.000388345,0.000388345,0.000388345
52,2925.87,0.79844,0.76319,0.50854,0.7599,0,0.98301,0.99083,0.98514,0.78437,0.85535,0.86368,0.83144,0.45435,0.58249,0.42464,0.49208,0.71392,0,0.000380732,0.000380732,0.000380732
53,3005.99,0.79745,0.75042,0.5163,0.7544,0,0.9836,0.99022,0.98517,0.78048,0.8654,0.87299,0.83829,0.48015,0.60595,0.39278,0.48601,0.7145,0,0.000373119,0.000373119,0.000373119
54,3062.05,0.84171,0.78478,0.51879,0.74967,0,0.98304,0.98917,0.98916,0.79021,0.8441,0.85083,0.81808,0.48565,0.58548,0.38188,0.4871,0.71339,0,0.000365506,0.000365506,0.000365506
55,3119.64,0.8317,0.7547,0.52851,0.75328,0,0.98422,0.99419,0.99105,0.7977,0.85831,0.86791,0.83008,0.46593,0.5867,0.42321,0.49236,0.7164,0,0.000357893,0.000357893,0.000357893
56,3173.32,0.83477,0.81116,0.51167,0.7468,0,0.98383,0.9951,0.98985,0.79166,0.85082,0.86673,0.82729,0.4549,0.58921,0.4353,0.48859,0.71524,0,0.00035028,0.00035028,0.00035028
57,3230.27,0.79302,0.73605,0.50559,0.76067,0,0.98229,0.9953,0.98982,0.78928,0.84419,0.86021,0.82986,0.44851,0.5898,0.44926,0.48617,0.71584,0,0.000342666,0.000342666,0.000342666
58,3283.91,0.80894,0.66828,0.50603,0.75496,0,0.98269,0.99059,0.98887,0.80054,0.86106,0.86829,0.84323,0.48379,0.54673,0.39197,0.45389,0.71256,0,0.000335053,0.000335053,0.000335053
59,3389.19,0.79773,0.7403,0.49843,0.75474,0,0.9801,0.99048,0.98746,0.78656,0.85889,0.86914,0.84658,0.48225,0.59092,0.39615,0.45653,0.71272,0,0.00032744,0.00032744,0.00032744
60,3452.8,0.76918,0.71839,0.50017,0.75236,0,0.98087,0.99044,0.98738,0.78663,0.85103,0.85955,0.8288,0.46151,0.59428,0.38213,0.45447,0.71207,0,0.000319827,0.000319827,0.000319827
61,3505.97,0.78427,0.82957,0.48285,0.76007,0,0.98299,0.99123,0.9871,0.78012,0.84198,0.84756,0.81897,0.45093,0.60035,0.38554,0.46572,0.71096,0,0.000312214,0.000312214,0.000312214
62,3563.5,0.79613,0.79435,0.49706,0.74928,0,0.98245,0.99047,0.98708,0.78967,0.8879,0.89621,0.87491,0.50028,0.64314,0.3905,0.48053,0.71727,0,0.000304601,0.000304601,0.000304601
63,3622.37,0.78843,0.81295,0.50158,0.75983,0,0.98061,0.99123,0.987,0.77883,0.9466,0.95716,0.938,0.57983,0.62121,0.3781,0.45563,0.7155,0,0.000296988,0.000296988,0.000296988
64,3673.15,0.82961,0.79506,0.49613,0.74571,0,0.98003,0.99123,0.98651,0.80115,0.96678,0.97785,0.96631,0.64197,0.59336,0.3682,0.45022,0.71681,0,0.000289375,0.000289375,0.000289375
65,3721.36,0.76154,0.77766,0.48558,0.75884,0,0.98021,0.99123,0.98638,0.80741,0.97657,0.98758,0.982,0.67933,0.6155,0.37801,0.45169,0.71832,0,0.000281762,0.000281762,0.000281762
66,3770.82,0.76165,0.75186,0.47558,0.75237,0,0.98369,0.99461,0.98561,0.80349,0.94401,0.95446,0.92446,0.5885,0.56972,0.37128,0.43325,0.71606,0,0.000274148,0.000274148,0.000274148
67,3841.13,0.78417,0.70442,0.48801,0.75619,0,0.98096,0.99123,0.98966,0.81012,0.96532,0.97541,0.96468,0.65693,0.53041,0.37052,0.42736,0.71354,0,0.000266535,0.000266535,0.000266535
68,3893.83,0.78402,0.69826,0.47942,0.75831,0,0.98154,0.99035,0.98738,0.80372,0.96706,0.97575,0.96667,0.63611,0.57566,0.39355,0.4464,0.7172,0,0.000258922,0.000258922,0.000258922
69,3943.94,0.80074,0.76059,0.48756,0.75635,0,0.9805,0.99045,0.98869,0.79987,0.94859,0.95863,0.94519,0.60145,0.59661,0.39368,0.44843,0.71649,0,0.000251309,0.000251309,0.000251309
70,3995.39,0.79227,0.76897,0.48639,0.75106,0,0.98157,0.98997,0.98927,0.80811,0.91408,0.92381,0.90108,0.53392,0.5386,0.35685,0.43403,0.71466,0,0.000243696,0.000243696,0.000243696
71,4051.53,0.79207,0.79834,0.4834,0.74506,0,0.97996,0.99123,0.98896,0.79271,0.91626,0.92746,0.90299,0.55461,0.56372,0.34744,0.42754,0.71592,0,0.000236083,0.000236083,0.000236083
72,4111.62,0.74525,0.75553,0.46375,0.75262,0,0.98063,0.99123,0.98913,0.81018,0.93785,0.94839,0.92884,0.58306,0.54456,0.33358,0.42579,0.71506,0,0.00022847,0.00022847,0.00022847
73,4165.38,0.77079,0.71136,0.46554,0.75338,0,0.98178,0.99056,0.986,0.7896,0.92047,0.92924,0.89803,0.527,0.55348,0.35255,0.42712,0.71344,0,0.000220857,0.000220857,0.000220857
74,4216.45,0.75689,0.72847,0.4694,0.74417,0,0.98042,0.99051,0.98423,0.80415,0.93883,0.94903,0.92305,0.56049,0.5431,0.38534,0.41915,0.71425,0,0.000213244,0.000213244,0.000213244
75,4265.83,0.7621,0.78126,0.46303,0.74814,0,0.98036,0.99073,0.98398,0.80532,0.90459,0.91529,0.8766,0.50876,0.52844,0.38618,0.40963,0.71424,0,0.000205631,0.000205631,0.000205631
76,4313.31,0.75566,0.68095,0.45951,0.74858,0,0.98159,0.99091,0.98699,0.80337,0.90346,0.91264,0.87868,0.4991,0.59307,0.39052,0.43578,0.71625,0,0.000198018,0.000198018,0.000198018
77,4360.42,0.74533,0.64749,0.45973,0.75709,0,0.98254,0.98965,0.98689,0.80635,0.92994,0.93722,0.91275,0.54361,0.58472,0.38461,0.42897,0.71634,0,0.000190404,0.000190404,0.000190404
78,4412.45,0.78436,0.71543,0.45632,0.75339,0,0.98251,0.98994,0.98758,0.8089,0.95494,0.96325,0.94942,0.60323,0.57037,0.38526,0.42317,0.71577,0,0.000182791,0.000182791,0.000182791
79,4463.32,0.77548,0.83291,0.45749,0.74897,0,0.98072,0.99091,0.98817,0.80628,0.95548,0.96541,0.94973,0.63146,0.5441,0.38273,0.40792,0.71476,0,0.000175178,0.000175178,0.000175178
80,4511.8,0.72461,0.65276,0.46126,0.74642,0,0.98083,0.99044,0.98764,0.80645,0.91241,0.92184,0.88841,0.52526,0.58267,0.37072,0.42097,0.71591,0,0.000167565,0.000167565,0.000167565
81,4560.31,0.74988,0.69848,0.45633,0.75115,0,0.9808,0.99038,0.98701,0.78828,0.94474,0.95388,0.93345,0.56202,0.59799,0.38124,0.4359,0.71628,0,0.000159952,0.000159952,0.000159952
82,4609.07,0.76677,0.7293,0.45346,0.75251,0,0.98048,0.99047,0.98641,0.79865,0.94801,0.95764,0.94099,0.57193,0.52969,0.38166,0.41223,0.71503,0,0.000152339,0.000152339,0.000152339
83,4656.77,0.74781,0.68714,0.45538,0.76458,0,0.98019,0.99048,0.98669,0.79652,0.95736,0.96737,0.95529,0.59099,0.55728,0.39586,0.41174,0.71559,0,0.000144726,0.000144726,0.000144726
84,4704.59,0.74954,0.71706,0.45038,0.75334,0,0.98246,0.98952,0.98834,0.80699,0.95706,0.96397,0.95408,0.61613,0.52635,0.39411,0.403,0.71401,0,0.000137113,0.000137113,0.000137113
85,4757.45,0.72152,0.6778,0.44605,0.7531,0,0.98281,0.99001,0.98802,0.80605,0.96347,0.97055,0.96126,0.63998,0.52662,0.38318,0.41308,0.71423,0,0.0001295,0.0001295,0.0001295
86,4805.45,0.74723,0.6838,0.44497,0.75442,0,0.98285,0.99085,0.9876,0.80252,0.97803,0.98599,0.98012,0.66999,0.54886,0.35548,0.42515,0.71483,0,0.000121887,0.000121887,0.000121887
87,4851.57,0.71137,0.64068,0.4469,0.75237,0,0.98175,0.99096,0.9876,0.8092,0.97812,0.98734,0.98261,0.68578,0.52497,0.33438,0.41043,0.71349,0,0.000114273,0.000114273,0.000114273
