epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,665.773,0.66016,0.65485,0.85085,0.95989,0.7554,0.77255,0.62948,0.64281,1.00345,0.81104,0.000445625,0.000445625,0.000445625
67,681.921,0.64691,0.66417,0.85369,0.95989,0.7554,0.77255,0.62948,0.64281,1.00345,0.81104,0.00043325,0.00043325,0.00043325
68,696.258,0.69096,0.63159,0.83813,0.95493,0.75431,0.7715,0.64318,0.62653,0.93771,0.80887,0.000420875,0.000420875,0.000420875
69,709.239,0.68797,0.65298,0.83112,0.95493,0.75431,0.7715,0.64318,0.62653,0.93771,0.80887,0.0004085,0.0004085,0.0004085
70,721.977,0.68375,0.63984,0.83563,0.95451,0.75467,0.77151,0.64225,0.61256,0.88109,0.80808,0.000396125,0.000396125,0.000396125
71,733.757,0.65402,0.65985,0.83904,0.95451,0.75467,0.77151,0.64225,0.61256,0.88109,0.80808,0.00038375,0.00038375,0.00038375
72,747.074,0.65189,0.63141,0.83624,0.94768,0.75792,0.77145,0.64622,0.6077,0.83088,0.80818,0.000371375,0.000371375,0.000371375
73,757.158,0.62651,0.61247,0.84226,0.94768,0.75792,0.77145,0.64622,0.6077,0.83088,0.80818,0.000359,0.000359,0.000359
74,766.3,0.68568,0.61792,0.82999,0.94465,0.76002,0.77217,0.64549,0.60351,0.79567,0.8048,0.000346625,0.000346625,0.000346625
75,778.113,0.64675,0.60904,0.83884,0.94465,0.76002,0.77217,0.64549,0.60351,0.79567,0.8048,0.00033425,0.00033425,0.00033425
76,789.734,0.63747,0.60045,0.83137,0.94205,0.75982,0.77308,0.65045,0.58809,0.76166,0.80293,0.000321875,0.000321875,0.000321875
77,801.297,0.66476,0.65192,0.84975,0.94205,0.75982,0.77308,0.65045,0.58809,0.76166,0.80293,0.0003095,0.0003095,0.0003095
78,812.697,0.67572,0.63332,0.84799,0.94265,0.75941,0.7742,0.6559,0.56966,0.72358,0.80414,0.000297125,0.000297125,0.000297125
79,823.562,0.61681,0.61194,0.83342,0.94265,0.75941,0.7742,0.6559,0.56966,0.72358,0.80414,0.00028475,0.00028475,0.00028475
80,835.812,0.65779,0.61874,0.82521,0.94793,0.75979,0.77445,0.64708,0.56746,0.6869,0.80277,0.000272375,0.000272375,0.000272375
81,849.941,0.59389,0.58655,0.84161,0.94793,0.75979,0.77445,0.64708,0.56746,0.6869,0.80277,0.00026,0.00026,0.00026
82,863.736,0.617,0.60383,0.83393,0.94794,0.75984,0.77457,0.65058,0.56424,0.6618,0.80197,0.000247625,0.000247625,0.000247625
83,879.438,0.64547,0.61783,0.82025,0.94794,0.75984,0.77457,0.65058,0.56424,0.6618,0.80197,0.00023525,0.00023525,0.00023525
84,897.73,0.66607,0.63595,0.8416,0.94672,0.76033,0.77513,0.65571,0.56865,0.64478,0.80195,0.000222875,0.000222875,0.000222875
85,915.524,0.61331,0.59192,0.85479,0.94672,0.76033,0.77513,0.65571,0.56865,0.64478,0.80195,0.0002105,0.0002105,0.0002105
86,927.45,0.6035,0.57951,0.82499,0.94684,0.76119,0.77604,0.65618,0.56715,0.63291,0.80236,0.000198125,0.000198125,0.000198125
87,935.244,0.60237,0.58643,0.82469,0.94684,0.76119,0.77604,0.65618,0.56715,0.63291,0.80236,0.00018575,0.00018575,0.00018575
88,947.775,0.60871,0.59108,0.84294,0.94593,0.76222,0.77679,0.65793,0.5676,0.62318,0.80343,0.000173375,0.000173375,0.000173375
89,962.409,0.60773,0.57486,0.82347,0.94593,0.76222,0.77679,0.65793,0.5676,0.62318,0.80343,0.000161,0.000161,0.000161
